Jahr	raw: Falsche ID	raw: (Nicht-nummerische ID, vorherige ID)	raw: Fehlende ID	raw: (Falsche-vorherige ID, vorherige ID)	entry: Falsche ID	entry: (Nicht-nummerische ID, vorherige ID)	entry: Fehlende ID	entry: (Falsche-vorherige ID, vorherige ID)	det: Falsche ID	det: (Nicht-nummerische ID, vorherige ID)	det: Fehlende ID	det: (Falsche-vorherige ID, vorherige ID)	res: Falsche ID	res: (Nicht-nummerische ID, vorherige ID)	res: Fehlende ID	res: (Falsche-vorherige ID, vorherige ID)	au: Falsche ID	au: (Nicht-nummerische ID, vorherige ID)	au: Fehlende ID	au: (Falsche-vorherige ID, vorherige ID)	ae: Falsche ID	ae: (Nicht-nummerische ID, vorherige ID)	ae: Fehlende ID	ae: (Falsche-vorherige ID, vorherige ID)	ae_se: Falsche ID	ae_se: (Nicht-nummerische ID, vorherige ID)	ae_se: Fehlende ID	ae_se: (Falsche-vorherige ID, vorherige ID)	y_corrected: Falsche ID	y_corrected: (Nicht-nummerische ID, vorherige ID)	y_corrected: Fehlende ID	y_corrected: (Falsche-vorherige ID, vorherige ID)
00	[]	[('00.71bis', '00.71'), ('00.92bis', '00.92')]	[]	[]	[]	[('00.71bis', '00.71'), ('00.92bis', '00.92')]	[]	[]	[]	[('00.71bis', '00.71'), ('00.92bis', '00.92')]	[]	[]	[]	[('00.71bis', '00.71'), ('00.92bis', '00.92')]	[]	[]	[]	[('00.71bis', '00.71'), ('00.92bis', '00.92')]	[]	[]	[]	[('00.71bis', '00.71'), ('00.92bis', '00.92')]	[]	[]	[]	[('00.71bis', '00.71'), ('00.92bis', '00.92')]	[]	[]	[]	[('00.71bis', '00.71'), ('00.92bis', '00.92')]	[]	[]
52	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
53	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
54	[]	[('54.27bis', '54.27')]	[]	[]	[]	[('54.27bis', '54.27')]	[]	[]	[]	[('54.27bis', '54.27')]	[]	[]	[]	[('54.27bis', '54.27')]	[]	[]	[]	[('54.27bis', '54.27')]	[]	[]	[]	[('54.27bis', '54.27')]	[]	[]	[]	[('54.27bis', '54.27')]	[]	[]	[]	[('54.27bis', '54.27')]	[]	[]
55	[]	[]	['55.3']	[]	[]	[]	['55.3']	[]	[]	[]	['55.3']	[]	[]	[]	['55.3']	[]	[]	[]	['55.3']	[]	[]	[]	['55.3']	[]	[]	[]	['55.3']	[]	[]	[]	['55.3']	[]
56	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
57	[]	[]	['57.7']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
58	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
59	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
61	['(61.4']	[]	[]	[]	['(61.4']	[]	[]	[]	['(61.4']	[]	[]	[]	['(61.4']	[]	[]	[]	['(61.4']	[]	[]	[]	['(61.4']	[]	[]	[]	['(61.4']	[]	[]	[]	['(61.4']	[]	[]	[]
62	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
63	[]	[]	[]	[('63.30', '63.28'), ('63.29', '63.33'), ('63.34', '63.29')]	[]	[]	[]	[('63.30', '63.28'), ('63.29', '63.33'), ('63.34', '63.29')]	[]	[]	[]	[('63.30', '63.28'), ('63.29', '63.33'), ('63.34', '63.29')]	[]	[]	[]	[('63.30', '63.28'), ('63.29', '63.33'), ('63.34', '63.29')]	[]	[]	[]	[('63.30', '63.28'), ('63.29', '63.33'), ('63.34', '63.29')]	[]	[]	[]	[('63.30', '63.28'), ('63.29', '63.33'), ('63.34', '63.29')]	[]	[]	[]	[('63.30', '63.28'), ('63.29', '63.33'), ('63.34', '63.29')]	[]	[]	[]	[('63.30', '63.28'), ('63.29', '63.33'), ('63.34', '63.29')]
